Timestamp	Compilation Time	Code Cache Size	Perm Gen Size	Invocations/s
1376436311198	65365	19021696	405892080	158.03
1376436312199	65365	19021696	406227184	158.22
1376436313199	65365	19021696	406579696	158.73
1376436314200	65365	19021696	406967024	157.23
1376436315201	65365	19021696	407350000	155.80
1376436316202	65365	19021696	407726448	160.67
1376436317202	65365	19021696	408144240	161.36
1376436318203	65365	19021696	408461936	159.60
1376436319204	65365	19021696	408838384	159.84
1376436320205	65365	19021696	409219184	157.83
1376436321206	65365	19021696	409567344	156.60
1376436322206	65365	19021696	409940400	158.50
1376436323207	65365	19021696	410311536	159.48
1376436324207	65365	19021696	410659696	157.80
1376436325208	65365	19021696	411040496	156.50
1376436326209	65365	19021696	411399536	157.53
1376436327209	65365	19021696	411760752	155.98
1376436328210	65365	19021696	412161288	161.10
1376436329211	65365	19021696	412509296	157.97
1376436330211	65365	19021696	412868336	154.60
1376436331212	65365	19021696	413242608	157.89
1376436332212	65365	19021696	413579888	157.01
1376436333213	65365	19021696	413958512	157.45
1376436334213	65365	19021696	414317560	156.42
1376436335213	65365	19021696	414676592	155.79
1376436336214	65365	19021696	415040680	156.96
1376436337214	65365	19021696	415372912	157.01
1376436338215	65365	19021696	415785136	157.95
1376436339215	65365	19021696	416132336	157.11
1376436340216	65365	19021696	416484848	157.36
1376436341217	65365	19021696	416852592	156.23
1376436342217	65365	19021696	417246448	157.40
1376436343218	65365	19021696	417583728	154.50
1376436344218	65365	19021696	417971056	156.20
1376436345219	65365	19021696	418325744	154.49
1376436346219	65365	19021696	418609888	153.70
1376436347220	65365	19021696	418967664	152.05
1376436348220	65365	19021696	419346288	151.36
1376436349221	65365	19021696	419670512	152.24
1376436350221	65365	19021696	420090480	155.56
1376436351222	65365	19021696	420443784	158.43
1376436352222	65365	19021696	420834672	156.85
1376436353223	65365	19021696	421206768	157.20
1376436354224	65365	19021696	421552752	157.92
1376436355224	65365	19021696	421898736	157.65
1376436356225	65365	19021696	422305648	158.76
1376436357225	65365	19021696	422634224	156.80
1376436358226	65365	19021696	423032432	157.93
1376436359226	65365	19021696	423408880	158.61
1376436360227	65365	19021696	423743984	158.33
1376436361227	65365	19021696	424118256	159.01
1376436362228	65365	19021696	424479472	157.07
1376436363229	65365	19021696	424805872	155.54
1376436364231	65365	19021696	425210608	156.23
1376436365232	65365	19021696	425565296	157.20
1376436366232	65365	19021696	425919080	160.14
1376436367233	65365	19021696	426292080	159.91
1376436368233	65365	19021696	426635888	158.61
1376436369234	65365	19021696	426977520	156.69
